,test_image,response,resptime,observer,group,type,noise
4,orig1p9.png,10.0,1.611487,Person3,hoch Detailgrad,Original,0
69,orig1p4.png,10.0,1.921871,Person3,hoch Detailgrad,Original,0
91,orig1p8.png,10.0,1.398253,Person3,hoch Detailgrad,Original,0
95,orig1p5.png,10.0,1.337544,Person3,hoch Detailgrad,Original,0
150,orig1p3.png,8.0,1.303658,Person3,hoch Detailgrad,Original,0
157,orig1p1.png,10.0,2.009107,Person3,hoch Detailgrad,Original,0
172,orig1p6.png,10.0,1.615101,Person3,hoch Detailgrad,Original,0
182,orig1p7.png,8.0,1.416192,Person3,hoch Detailgrad,Original,0
227,orig1p2.png,10.0,1.406899,Person3,hoch Detailgrad,Original,0
324,orig1p10.png,8.0,2.563464,Person3,hoch Detailgrad,Original,0
9,orig1p5.png,7.0,2.275569,Person4,hoch Detailgrad,Original,0
57,orig1p9.png,7.0,1.968557,Person4,hoch Detailgrad,Original,0
64,orig1p4.png,7.0,5.721686,Person4,hoch Detailgrad,Original,0
79,orig1p10.png,3.0,1.161867,Person4,hoch Detailgrad,Original,0
105,orig1p8.png,7.0,1.004125,Person4,hoch Detailgrad,Original,0
138,orig1p7.png,6.0,1.694639,Person4,hoch Detailgrad,Original,0
192,orig1p2.png,9.0,1.68725,Person4,hoch Detailgrad,Original,0
210,orig1p3.png,7.0,0.710449,Person4,hoch Detailgrad,Original,0
252,orig1p1.png,9.0,1.554025,Person4,hoch Detailgrad,Original,0
325,orig1p6.png,10.0,1.660149,Person4,hoch Detailgrad,Original,0
9,orig1p5.png,10.0,1.582868,Person5,hoch Detailgrad,Original,0
57,orig1p9.png,10.0,1.445922,Person5,hoch Detailgrad,Original,0
64,orig1p4.png,10.0,1.301064,Person5,hoch Detailgrad,Original,0
79,orig1p10.png,7.0,1.2718,Person5,hoch Detailgrad,Original,0
105,orig1p8.png,9.0,19.473045,Person5,hoch Detailgrad,Original,0
138,orig1p7.png,7.0,3.809104,Person5,hoch Detailgrad,Original,0
192,orig1p2.png,8.0,1.280568,Person5,hoch Detailgrad,Original,0
210,orig1p3.png,4.0,1.11803,Person5,hoch Detailgrad,Original,0
252,orig1p1.png,10.0,1.420652,Person5,hoch Detailgrad,Original,0
325,orig1p6.png,8.0,1.365983,Person5,hoch Detailgrad,Original,0
19,orig1p4.png,10.0,1.876216,Person6,hoch Detailgrad,Original,0
40,orig1p1.png,10.0,1.367824,Person6,hoch Detailgrad,Original,0
58,orig1p2.png,10.0,1.365431,Person6,hoch Detailgrad,Original,0
96,orig1p6.png,10.0,1.61571,Person6,hoch Detailgrad,Original,0
173,orig1p9.png,7.0,2.102968,Person6,hoch Detailgrad,Original,0
192,orig1p8.png,7.0,1.619133,Person6,hoch Detailgrad,Original,0
207,orig1p3.png,7.0,1.746928,Person6,hoch Detailgrad,Original,0
231,orig1p10.png,8.0,1.23294,Person6,hoch Detailgrad,Original,0
253,orig1p5.png,8.0,1.85561,Person6,hoch Detailgrad,Original,0
282,orig1p7.png,7.0,2.125608,Person6,hoch Detailgrad,Original,0
53,orig2p9.png,10.0,1.230296,Person1,mittel Detailgrad,Original,0
