test_image,response,resptime
ani35g3p1.png,1,1.158827
,,
ori45g3p4.png,1,0.774786
,,
ori5g2p10.png,10,1.12183
,,
ori25g2p4.png,4,5.188093
,,
ori25g3p2.png,4,1.518362
,,
ori15g1p7.png,7,3.270956
,,
ori35g1p7.png,2,2.051487
,,
ani35g1p10.png,2,1.935179
,,
ani25g3p7.png,2,1.502841
,,
ori5g2p3.png,9,2.773271
,,
anig1p4.png,10,1.517065
,,
ani5g3p5.png,10,1.772219
,,
ani45g1p3.png,3,3.165011
,,
orig2p3.png,10,2.033067
,,
ori35g2p8.png,3,3.001752
,,
ani5g3p3.png,8,1.875852
,,
ani5g1p8.png,10,1.92637
,,
ani15g3p5.png,8,3.612501
,,
orig3p3.png,10,1.362086
,,
ani15g1p1.png,8,2.24973
,,
ori45g1p6.png,2,1.601493
,,
ori45g2p2.png,1,0.770454
,,
ori45g1p4.png,1,0.812769
,,
ani25g2p5.png,3,1.946758
,,
ani25g2p3.png,3,1.819465
,,
anig2p9.png,9,1.208061
,,
ani35g2p8.png,2,6.945843
,,
ori45g3p5.png,1,0.866449
,,
orig2p2.png,10,1.073065
,,
anig2p7.png,10,0.880456
,,
ori15g3p9.png,3,5.196224
,,
ori25g1p8.png,8,2.425043
,,
anig2p6.png,10,1.593418
,,
ori5g1p9.png,10,0.787146
,,
ani35g1p5.png,2,2.612006
,,
ori5g3p8.png,9,0.969141
,,
ani35g2p9.png,3,2.062432
,,
ori5g3p1.png,9,0.977204
,,
ori35g1p4.png,2,1.786481
,,
ani15g1p8.png,8,1.437518
,,
ani35g3p6.png,2,1.526217
,,
anig3p8.png,10,1.424932
,,
ori45g2p10.png,1,1.157559
,,
ani5g2p9.png,9,1.345867
,,
ani15g2p1.png,5,3.062609
,,
anig3p3.png,6,3.50552
,,
ani5g2p1.png,5,5.295703
,,
ori5g2p5.png,9,2.693877
,,
ani15g1p3.png,10,1.345469
,,
ori35g1p2.png,2,5.617467
,,
ori35g3p2.png,2,1.414048
,,
ori35g3p8.png,1,0.676209
,,
ori5g1p4.png,8,1.953955
,,
ani15g2p7.png,7,1.416204
,,
ani35g3p2.png,2,1.819067
,,
ani15g3p1.png,3,1.820949
,,
ani45g3p1.png,1,0.766802
,,
ori35g3p4.png,1,1.560302
,,
ani35g1p9.png,1,0.88404
,,
ori5g3p4.png,7,2.858031
,,
ani45g3p6.png,1,1.337757
,,
ori25g3p1.png,2,1.071945
,,
ani15g3p7.png,3,2.699416
,,
ani35g1p7.png,2,3.26027
,,
ori45g1p1.png,2,1.441331
,,
ori5g1p6.png,10,3.019156
,,
orig2p8.png,10,2.784164
,,
ani45g2p10.png,2,1.718019
,,
ani25g1p9.png,4,2.655839
,,
ori25g2p9.png,4,2.420349
,,
ori15g3p3.png,6,2.259827
,,
ori5g3p9.png,7,1.871804
,,
ori25g3p3.png,3,1.690295
,,
anig3p9.png,9,2.200917
,,
ori25g3p7.png,2,1.811192
,,
ori5g1p5.png,9,1.494153
,,
ani25g1p3.png,4,2.90192
,,
ori25g1p2.png,4,1.461987
,,
ani35g1p4.png,3,1.780848
,,
ani35g3p9.png,1,1.44173
,,
ori5g3p2.png,10,1.369349
,,
ori25g1p1.png,6,4.59778
,,
ori45g1p5.png,2,6.770269
,,
ani35g2p5.png,1,1.198183
,,
ori35g1p6.png,2,1.517642
,,
ani35g1p3.png,2,1.514077
,,
orig2p10.png,10,2.225929
,,
ani5g3p8.png,10,1.652206
,,
ori15g1p6.png,8,2.350999
,,
ori15g1p9.png,9,2.363514
,,
orig1p10.png,10,1.290821
,,
anig1p2.png,10,1.332357
,,
ani15g2p3.png,7,3.407557
,,
ori45g2p5.png,1,1.066279
,,
ani15g1p10.png,9,2.130265
,,
ani25g3p3.png,2,2.764372
,,
ani5g2p2.png,7,2.165137
,,
ori25g3p6.png,3,2.2156
,,
ani15g3p6.png,3,2.679557
,,
ori25g3p4.png,2,1.293785
,,
ori15g1p10.png,9,1.736411
,,
ani15g1p2.png,8,1.404977
,,
ani45g2p6.png,1,1.127028
,,
ani35g1p2.png,3,1.994244
,,
ori45g1p8.png,1,1.179018
,,
ani45g3p2.png,1,0.717443
,,
ani5g1p3.png,10,1.035449
,,
ori35g1p5.png,2,0.963862
,,
ani45g3p3.png,1,0.764976
,,
ani15g3p4.png,5,3.313365
,,
ani5g3p6.png,5,3.994377
,,
ani45g3p4.png,2,1.182995
,,
anig1p1.png,8,1.676644
,,
anig2p4.png,10,2.454976
,,
ori25g1p6.png,4,2.761958
,,
ani25g1p7.png,7,1.76392
,,
ori45g3p1.png,1,0.911714
,,
ani35g3p8.png,1,0.66043
,,
ori5g3p3.png,7,2.209581
,,
ani15g3p9.png,4,2.737052
,,
ori5g3p5.png,6,2.091089
,,
anig3p5.png,7,1.033653
,,
ani35g3p7.png,2,5.439967
,,
ori45g3p2.png,1,0.684276
,,
ori15g3p6.png,5,2.293765
,,
ani5g2p7.png,8,2.42785
