test_image,response,resptime
ori35g2p10.png,2,3.50679
ori45g3p8.png,1,0.965554
ani15g3p6.png,7,2.391323
ani5g2p10.png,10,1.65997
ani45g3p10.png,1,2.309283
orig3p10.png,10,1.498558
ori5g2p3.png,10,0.793981
ani45g3p9.png,1,0.770708
ori15g2p8.png,9,2.123915
ori15g3p2.png,8,2.386156
ori35g3p3.png,1,1.292998
ani15g2p8.png,8,2.254763
ani15g2p3.png,8,1.302242
ori45g2p1.png,1,2.651487
anig1p4.png,8,1.3996
ani15g1p9.png,6,2.771023
ani35g1p10.png,4,4.791176
ani5g1p5.png,10,1.992411
ori15g1p5.png,10,0.790399
ori5g1p5.png,10,1.535883
ori15g1p3.png,9,2.207822
ori25g3p2.png,3,3.367998
ani35g2p9.png,3,1.512076
ani35g3p7.png,3,1.394772
ani25g2p9.png,5,1.610456
ani15g2p9.png,5,0.775059
ori5g3p6.png,9,5.88951
ori5g1p10.png,10,1.848924
ori15g2p5.png,9,1.407309
ani15g1p5.png,7,2.091433
ani15g2p2.png,6,1.781083
anig2p5.png,10,1.301872
ani25g2p4.png,5,2.742875
ori5g1p1.png,10,2.205859
orig2p4.png,10,0.74545
ani15g3p5.png,8,2.355999
ani25g1p7.png,5,1.665499
ori25g1p7.png,4,1.892227
ani15g2p7.png,6,3.49361
anig3p9.png,10,1.721594
ori15g2p3.png,8,4.265758
ori35g1p9.png,3,1.681227
ani15g3p9.png,2,3.062404
